idsensore,tipologia,unit_dimisura,idstazione,nomestazione,quota,provincia,datastart,storico,cgb_nord,cgb_est,lng,lat,location,:@computed_region_af5v_nc64,datastop
6797,Velocità Vento,m/s,653,Brescia v.Ziziola,125,BS,1997-10-15T00:00:00.000,N,5040836,595170,10.21846492,45.51456611,"{'type': 'Point', 'coordinates': [10.21846492, 45.51456611]}",2,
19159,Direzione Vento,°,1297,Spinadesco v.Battisti,48,CR,2013-11-19T00:00:00.000,N,5000087,573153,9.93059842,45.15047339,"{'type': 'Point', 'coordinates': [9.93059842, 45.15047339]}",4,
8143,Livello Idrometrico,cm,879,Capriolo SP12,178,BS,2001-02-01T00:00:00.000,N,5055325,571386,9.91612981,45.64780650,"{'type': 'Point', 'coordinates': [9.91612981, 45.6478065]}",2,
5863,Temperatura,°C,595,Filago v.Don Milani,190,BG,1991-12-07T00:00:00.000,N,5053519,543342,9.55609572,45.63387247,"{'type': 'Point', 'coordinates': [9.55609572, 45.63387247]}",1,
6430,Radiazione Globale,W/m²,595,Filago v.Don Milani,190,BG,1991-12-07T00:00:00.000,N,5053519,543342,9.55609572,45.63387247,"{'type': 'Point', 'coordinates': [9.55609572, 45.63387247]}",1,
2442,Direzione Vento,°,132,Bergamo v.Stezzano,211,BG,1993-05-19T00:00:00.000,N,5056541,551321,9.65876847,45.66051928,"{'type': 'Point', 'coordinates': [9.65876847, 45.66051928]}",1,
32238,Umidità Relativa,%,856,Fortunago,501,PV,2016-08-01T00:00:00.000,N,4973248,515391,9.19499417,44.91250111,"{'type': 'Point', 'coordinates': [9.19499417, 44.91250111]}",6,
6421,Umidità Relativa,%,629,Crema v.XI febbraio,79,CR,2002-01-01T00:00:00.000,N,5023885,555127,9.70395139,45.36631075,"{'type': 'Point', 'coordinates': [9.70395139, 45.36631075]}",4,
14715,Velocità Vento,m/s,1545,San Siro Alpe Rescascìa,1285,CO,2014-12-30T00:00:00.000,N,5102069,518430,9.23833270,46.07194520,"{'type': 'Point', 'coordinates': [9.2383327, 46.0719452]}",7,
8209,Temperatura,°C,910,Manerbio v.Dante,60,BS,2003-04-09T00:00:00.000,N,5023554,589720,10.14555158,45.35975344,"{'type': 'Point', 'coordinates': [10.14555158, 45.35975344]}",2,
17600,Precipitazione,mm,1889,Val Masino Merdarola,2280,SO,2019-08-01T00:00:00.000,N,5119691,544851,9.58163635,46.22931619,"{'type': 'Point', 'coordinates': [9.58163635, 46.22931619]}",7,
14595,Direzione Vento,°,1379,Gargnano,984,BS,2015-07-15T00:00:00.000,N,5065317,625847,10.61740677,45.72996009,"{'type': 'Point', 'coordinates': [10.61740677, 45.72996009]}",2,
8093,Altezza Neve,cm,832,Lanzada Palù,2151,SO,1992-01-01T00:00:00.000,N,5126972,568128,9.88452786,46.29290690,"{'type': 'Point', 'coordinates': [9.88452786, 46.2929069]}",7,
2110,Temperatura,°C,108,Samolaco v.Vignola,206,SO,1994-07-27T00:00:00.000,N,5120369,532896,9.42666579,46.23610858,"{'type': 'Point', 'coordinates': [9.42666579, 46.23610858]}",7,
8588,Temperatura,°C,998,Laveno-Mombello p.zza Matteotti,207,VA,1999-06-24T00:00:00.000,N,5084109,470426,8.61868535,45.90991335,"{'type': 'Point', 'coordinates': [8.61868535, 45.90991335]}",3,
8029,Precipitazione,mm,848,Livigno La Vallaccia,2660,SO,1993-09-11T00:00:00.000,N,5147768,591251,10.18873661,46.47730866,"{'type': 'Point', 'coordinates': [10.18873661, 46.47730866]}",7,
9869,Umidità Relativa,%,672,Cornale v.Libertà,74,PV,2005-07-28T00:00:00.000,N,4987406,493238,8.91415717,45.04008561,"{'type': 'Point', 'coordinates': [8.91415717, 45.04008561]}",6,
17435,Umidità Relativa,%,1862,Broni,77,PV,2018-03-22T00:00:00.000,N,4987916,517630,9.22386082,45.04448039,"{'type': 'Point', 'coordinates': [9.22386082, 45.04448039]}",6,
11008,Umidità Relativa,%,822,Valtorta,982,BG,2010-11-10T00:00:00.000,N,5091256,541747,9.53889086,45.97360719,"{'type': 'Point', 'coordinates': [9.53889086, 45.97360719]}",1,
6834,Temperatura,°C,657,Lonato del Garda v.del Marchesino,180,BS,1990-01-01T00:00:00.000,N,5035536,615762,10.48078183,45.46375819,"{'type': 'Point', 'coordinates': [10.48078183, 45.46375819]}",2,
14471,Direzione Vento,°,1367,Bagolino SP669,775,BS,2012-12-12T00:00:00.000,N,5077140,612773,10.45219900,45.83860244,"{'type': 'Point', 'coordinates': [10.452199, 45.83860244]}",2,
19300,Velocità Vento,m/s,1514,Carenno centro sportivo,633,LC,2014-07-30T00:00:00.000,N,5072042,536210,9.46596925,45.80099390,"{'type': 'Point', 'coordinates': [9.46596925, 45.8009939]}",5,
32241,Umidità Relativa,%,884,Cuveglio,294,VA,2016-08-01T00:00:00.000,N,5083338,480047,8.74277458,45.90332947,"{'type': 'Point', 'coordinates': [8.74277458, 45.90332947]}",3,
14301,Livello Idrometrico,cm,1348,Gambolò via Roma,101,PV,2012-10-16T00:00:00.000,N,5010486,489275,8.86333267,45.24779339,"{'type': 'Point', 'coordinates': [8.86333267, 45.24779339]}",6,
14216,Direzione Vento,°,1343,Lanzada Passo Marinelli,3032,SO,2012-10-13T00:00:00.000,N,5133321,570414,9.91515411,46.34981046,"{'type': 'Point', 'coordinates': [9.91515411, 46.34981046]}",7,
9108,Precipitazione,mm,1201,Canevino,455,PV,2004-01-01T00:00:00.000,N,4975743,521751,9.27567400,44.93479528,"{'type': 'Point', 'coordinates': [9.275674, 44.93479528]}",6,
