idsensore,nometiposensore,unitamisura,idstazione,nomestazione,quota,provincia,comune,storico,datastart,utm_nord,utm_est,lat,lng,location,:@computed_region_6hky_swhk,:@computed_region_ttgh_9sm5,:@computed_region_af5v_nc64,datastop
9972,Ozono,µg/m³,679,Valmadrera v.Pozzi,247,LC,Valmadrera,N,2006-02-21T00:00:00.000,5076576,527307,45.84221272,9.35166247,"{'type': 'Point', 'coordinates': [9.35166247, 45.84221272]}",10,10,5,
5611,Biossido di Azoto,µg/m³,608,Codogno v.Trento,59,LO,Codogno,N,2000-01-13T00:00:00.000,5000892,554872,45.15937678,9.69815314,"{'type': 'Point', 'coordinates': [9.69815314, 45.15937678]}",11,11,8,
5586,Biossido di Azoto,µg/m³,583,Bergamo v.Meucci,249,BG,Bergamo,N,1989-06-01T00:00:00.000,5059922,550116,45.69104400,9.64366225,"{'type': 'Point', 'coordinates': [9.64366225, 45.691044]}",5,5,1,
9875,Ossidi di Azoto,µg/m³,674,Monza v.Machiavelli,162,MB,Monza,N,2005-10-21T00:00:00.000,5047450,521343,45.57411700,9.26380800,"{'type': 'Point', 'coordinates': [9.263808, 45.574117]}",12,12,5,
6917,PM10 (SM2005),µg/m³,558,Busto Arsizio  Accam,206,VA,Busto Arsizio,N,1999-01-20T00:00:00.000,5047718,487687,45.58289429,8.84216546,"{'type': 'Point', 'coordinates': [8.84216546, 45.58289429]}",1,1,3,
6945,PM10 (SM2005),µg/m³,633,Soresina v. Landriani,70,CR,Soresina,N,2000-02-04T00:00:00.000,5014860,567712,45.28398000,9.86340258,"{'type': 'Point', 'coordinates': [9.86340258, 45.28398]}",8,8,4,
9802,Biossido di Azoto,µg/m³,670,Mantova S.Agnese,22,MN,Mantova,N,2004-12-31T00:00:00.000,5002356,641122,45.16057658,10.79557331,"{'type': 'Point', 'coordinates': [10.79557331, 45.16057658]}",9,9,4,
10286,Biossido di Azoto,µg/m³,706,Lecco v.Sora,272,LC,Lecco,N,2007-06-27T00:00:00.000,5078987,531045,45.86375372,9.39995481,"{'type': 'Point', 'coordinates': [9.39995481, 45.86375372]}",10,10,5,
10547,Particelle sospese PM2.5,µg/m³,1269,Dalmine v.Verdi,207,BG,Dalmine,N,2010-02-26T00:00:00.000,5055304,546847,45.64971000,9.60123469,"{'type': 'Point', 'coordinates': [9.60123469, 45.64971]}",5,5,1,
9856,Ozono,µg/m³,672,Cornale v.Libertà,74,PV,Cornale,N,2005-07-29T00:00:00.000,4987406,493238,45.04008561,8.91415717,"{'type': 'Point', 'coordinates': [8.91415717, 45.04008561]}",7,7,6,
