idsensore,data,valore
10283,2021-04-14,11
10283,2021-04-15,9
10283,2021-04-16,14
10283,2021-04-17,21
10283,2021-04-18,18
10283,2021-04-19,19
10283,2021-04-20,16
10283,2021-04-21,9
10283,2021-04-22,20
10283,2021-04-23,21
10283,2021-04-24,18
10283,2021-04-25,16
10283,2021-04-26,17
10283,2021-04-27,17
10283,2021-04-28,23
10283,2021-04-29,26
10283,2021-04-30,8
10283,2021-05-01,9
10283,2021-05-02,4
10283,2021-05-03,6
10283,2021-05-04,11
10283,2021-05-05,9
10283,2021-05-06,9
10283,2021-05-07,10
10283,2021-05-08,6
10283,2021-05-09,8
10283,2021-05-10,11
10283,2021-05-11,8
10283,2021-05-12,6
10283,2021-05-13,5
10283,2021-05-14,7
10283,2021-05-15,8
10283,2021-05-16,6
10283,2021-05-17,5
10283,2021-05-18,6
10283,2021-05-19,7
10283,2021-05-20,7
10283,2021-05-21,7
10283,2021-05-22,6
10283,2021-05-23,7
10283,2021-05-24,6
10283,2021-05-25,7
10283,2021-05-26,7
10283,2021-05-27,7
10283,2021-05-28,10
10283,2021-05-29,10
10283,2021-05-30,7
10283,2021-05-31,8
10283,2021-06-01,13
10283,2021-06-02,10
10283,2021-06-04,10
10283,2021-06-05,8
10283,2021-06-06,9
10283,2021-06-07,9
10283,2021-06-08,10
10283,2021-06-09,11
10283,2021-06-10,14
10283,2021-06-11,14
10283,2021-06-12,13
10283,2021-06-13,11
10283,2021-06-14,12
10283,2021-06-18,15
10283,2021-06-19,16
10283,2021-06-20,17
10283,2021-06-21,22
10283,2021-06-22,13
10283,2021-06-23,12
10283,2021-06-24,12
10283,2021-07-02,11
10283,2021-07-03,12
10283,2021-07-04,11
10283,2021-07-05,8
10283,2021-07-06,10
10283,2021-07-07,13
10283,2021-07-08,9
10283,2021-07-09,5
10283,2021-07-10,10
10283,2021-07-11,8
10283,2021-07-12,14
10283,2021-07-13,12
10283,2021-07-14,8
10283,2021-07-15,9
10283,2021-07-16,10
10283,2021-07-17,10
10283,2021-07-18,12
10283,2021-07-19,11
10283,2021-07-20,13
10283,2021-07-21,15
10283,2021-07-22,14
10283,2021-07-23,13
10283,2021-07-24,17
10283,2021-07-25,12
10283,2021-07-26,9
10283,2021-07-27,12
10283,2021-07-28,10
10283,2021-07-29,13
10283,2021-07-30,15
10283,2021-07-31,12
10283,2021-08-01,7
10283,2021-08-02,9
10283,2021-08-03,9
10283,2021-08-04,11
10283,2021-08-05,6
10283,2021-08-06,8
10283,2021-08-07,10
10283,2021-08-08,10
10283,2021-08-09,8
10283,2021-08-10,12
10283,2021-08-11,16
10283,2021-08-12,16
10283,2021-08-13,17
10283,2021-08-14,15
10283,2021-08-15,20
