date,value,Rain,Wind,Temp,Humidity
2022-04-15,24.0,0.0,1.3077,19.2175,42.0625
2022-04-16,16.0,0.0,2.1774,18.7311,44.0903
2022-04-17,6.0,0.0,2.5251,14.0206,42.2014
2022-04-18,11.0,0.0,1.6431,14.7267,34.0347
2022-04-19,11.0,0.0,1.2221,15.3762,42.6667
2022-04-20,13.0,0.0,2.726,14.1733,57.0625
2022-04-21,11.0,0.0,2.2658,13.4457,47.3958
2022-04-22,14.0,0.0,1.3862,12.9065,71.7014
2022-04-23,21.0,6.0,3.023,14.1906,78.1806
2022-04-24,5.0,0.4,2.1249,12.9635,71.1667
2022-04-25,6.0,10.6,1.1486,14.7651,68.875
2022-04-26,11.0,10.4,1.1411,14.3499,84.0417
2022-04-27,12.0,0.0,1.2122,16.4971,60.0833
2022-04-28,9.0,0.0,2.2307,17.8724,48.25
2022-04-29,13.0,0.0,1.651,18.716,41.8611
2022-04-30,12.0,0.0,1.0242,18.6658,38.1181
2022-05-01,9.0,0.0,2.0297,18.1622,48.0625
2022-05-02,12.0,0.0,1.4962,18.1485,51.0556
2022-05-03,9.0,0.2,1.2351,17.8343,56.4236
2022-05-04,13.0,2.2,0.8869,17.3235,68.8333
2022-05-05,18.0,18.6,1.3286,15.1236,79.2569
2022-05-06,10.0,11.8,0.7276,13.4535,96.7431
2022-05-07,15.0,1.2,1.0522,16.0556,81.0417
2022-05-08,7.0,0.2,0.9987,17.9852,70.8056
2022-05-09,14.0,2.0,0.7412,19.2494,66.0486
2022-05-10,15.0,0.0,0.8074,21.5353,56.2222
2022-05-12,10.0,0.0,1.5615,22.1083,56.1319
2022-05-13,10.0,0.0,1.3536,21.9978,54.7222
2022-05-15,12.0,0.0,0.9919,24.7633,49.8611
2022-05-16,10.0,0.0,1.3333,24.587,43.0139
2022-05-17,11.0,0.0,0.9438,25.3512,45.5833
2022-05-18,14.0,0.0,3.012,25.5006,48.7083
2022-05-19,11.0,0.0,2.2449,24.8692,35.8125
2022-05-20,15.0,0.0,1.4558,25.0885,41.7083
2022-05-21,13.0,0.0,1.5962,25.2781,54.3819
2022-05-22,11.0,0.0,1.206,24.4454,57.2708
2022-05-23,10.0,0.0,1.4919,24.4162,49.4375
2022-05-24,13.0,3.8,1.1527,22.4189,57.2361
2022-05-25,10.0,0.0,1.2003,22.1366,65.0139
2022-05-26,15.0,0.0,1.436,24.5325,58.7692
2022-05-28,16.0,0.0,2.9031,24.4931,56.75
2022-05-29,7.0,4.2,2.5595,17.0474,62.0
2022-05-30,7.0,0.0,1.8052,18.3482,57.2986
2022-05-31,17.0,0.0,1.2314,21.065,58.9931
2022-06-02,14.0,0.0,0.7594,25.3637,51.7847
2022-06-03,19.0,1.6,1.8556,23.4033,67.9028
2022-06-04,9.0,0.0,0.7721,25.199,58.6736
2022-06-05,15.0,1.6,1.504,25.3898,59.3333
2022-06-07,8.0,5.4,1.6922,24.1171,59.4097
2022-06-08,8.0,2.6,1.3568,22.7241,57.0347
2022-06-09,6.0,0.0,1.7237,23.4272,44.6458
2022-06-10,4.0,0.0,1.2031,25.6146,25.2153
2022-06-11,8.0,0.0,1.3295,26.5067,35.9028
2022-06-12,11.0,0.0,1.0715,28.0758,37.9931
2022-06-13,15.0,0.0,1.1906,29.0446,39.1042
2022-06-14,15.0,0.0,2.474,28.1056,45.6458
2022-06-15,14.0,0.0,1.6904,28.0971,43.4236
2022-06-16,17.0,0.0,1.3183,29.7167,43.2083
2022-06-17,18.0,0.0,1.52,30.1531,44.5486
2022-06-18,13.0,0.0,2.6574,29.5092,38.5
2022-06-19,13.0,0.0,1.8883,29.9883,36.7639
2022-06-20,14.0,0.0,1.4284,29.2499,39.8681
2022-06-21,11.0,0.0,1.5195,28.0295,50.2847
2022-06-22,14.0,1.6,1.1337,26.0074,59.9306
2022-06-23,15.0,0.0,1.2805,26.011,63.0
2022-06-24,9.0,1.2,1.4951,25.2188,56.9583
2022-06-25,6.0,0.0,1.1962,25.4228,50.2986
2022-06-26,9.0,0.0,1.1324,28.2501,45.4306
2022-06-27,14.0,0.0,1.5508,29.921,42.9792
2022-06-28,14.0,3.4,1.7649,27.2159,52.5694
2022-06-29,7.0,0.0,1.7065,26.6455,53.2361
2022-07-01,9.0,0.0,1.4015,27.8705,44.375
2022-07-02,12.0,0.0,1.1715,29.5551,40.7431
2022-07-03,14.0,0.0,0.9026,31.2065,38.4167
2022-07-15,16.0,0.0,1.4457,30.7082,40.1189
2022-07-16,14.0,0.0,1.5663,30.2839,43.0486
2022-07-18,18.0,0.0,2.4597,30.4476,39.7708
2022-07-19,16.0,0.0,1.8815,31.066,34.9097
2022-07-20,13.0,0.0,1.6214,31.8236,29.8958
2022-07-21,16.0,0.0,1.753,32.4251,31.0069
2022-07-22,19.0,0.0,1.3832,33.6829,29.8376
2022-07-23,18.0,0.0,1.413,30.8995,45.5944
2022-07-24,17.0,0.0,1.1221,30.7621,51.2361
2022-07-25,20.0,2.4,1.5645,31.442,44.3542
2022-07-27,10.0,0.0,1.5892,27.3265,52.2292
2022-07-28,15.0,3.8,2.3806,27.7694,52.5833
2022-07-29,10.0,18.8,0.9299,24.7111,66.5
2022-07-30,8.0,0.2,1.2108,26.3021,54.3819
2022-07-31,7.0,0.0,0.9907,28.4995,34.0625
2022-08-01,11.0,0.0,1.1161,30.1319,35.2639
2022-08-02,9.0,0.0,2.0964,28.8616,39.3427
2022-08-05,18.0,0.0,1.1911,31.7937,38.1597
2022-08-06,12.0,0.0,1.6639,30.3151,45.4375
2022-08-07,8.0,0.0,2.1111,27.1235,50.1458
2022-08-08,8.0,0.0,1.1952,27.6496,48.1343
2022-08-09,12.0,0.0,1.859,28.6135,45.8056
2022-08-10,11.0,0.0,2.3301,28.7885,38.5139
2022-08-11,9.0,0.0,2.1162,27.9635,38.6115
2022-08-12,14.0,0.8,3.3597,26.208,42.3681
2022-08-13,8.0,0.0,1.1374,24.7043,47.1944
2022-08-14,9.0,0.0,1.0151,25.9594,42.9722
2022-08-15,9.0,0.0,1.1141,26.2683,46.3958
2022-08-17,17.0,1.2,1.6262,25.4488,65.4028
2022-08-18,13.0,16.6,1.4621,21.9594,82.3958
2022-08-20,6.0,0.0,1.068,26.966,49.1042
2022-08-21,3.0,0.0,0.7624,27.4019,40.6111
2022-08-22,8.0,0.0,1.1596,27.5891,42.3403
2022-08-23,9.0,0.0,1.5927,27.2317,41.6875
2022-08-24,8.0,0.0,1.7958,26.948,44.5625
2022-08-25,10.0,0.0,0.8635,27.6807,45.0486
2022-08-26,12.0,0.0,1.1029,27.6241,47.9583
2022-08-27,8.0,0.0,2.0599,26.204,53.0625
2022-08-28,9.0,0.0,1.0599,26.5269,55.2986
2022-08-29,10.0,0.0,1.0183,27.5535,52.8333
2022-08-30,19.0,0.0,1.4681,25.8801,62.8542
2022-09-01,10.0,0.0,2.0566,24.524,60.1389
2022-09-02,10.0,0.0,1.8073,23.727,54.3958
2022-09-03,12.0,0.0,1.9101,23.692,54.9097
2022-09-05,14.0,0.0,1.1524,25.9867,55.5833
2022-09-06,18.0,0.0,1.0312,26.3455,55.3611
2022-09-07,21.0,0.0,1.8181,25.7451,62.3542
2022-09-08,12.0,2.2,1.6016,25.1694,63.5
2022-09-10,6.0,0.0,1.1117,23.4988,50.4653
2022-09-11,7.0,0.0,1.0758,23.9176,48.9097
2022-09-12,10.0,0.0,0.9803,23.9499,49.0347
2022-09-13,12.0,0.0,0.9222,24.565,51.9792
2022-09-14,10.0,0.0,1.0253,24.8334,59.7361
2022-09-15,11.0,0.0,1.0473,25.6443,56.0625
2022-09-16,11.0,0.0,1.1791,25.3212,52.8472
2022-09-18,3.0,0.0,1.6072,20.1419,27.2639
2022-09-19,5.0,0.0,1.2431,21.1501,28.7431
2022-09-20,7.0,0.0,1.4942,19.4233,37.5903
2022-09-21,8.0,0.0,2.4451,18.1865,49.9514
2022-09-22,7.0,0.0,1.5274,17.7662,41.9722
2022-09-23,11.0,0.0,1.3151,18.4776,45.9028
2022-09-24,22.0,8.0,1.3568,15.8219,74.0278
2022-09-25,18.0,0.0,0.8342,16.0917,81.2222
