date,value,Rain,Wind,Temp,Humidity,value_dayb
2022-06-02,27.2,0.0,0.7594,25.3637,51.7847,32.4
2022-06-03,40.8,1.6,1.8556,23.4033,67.9028,27.2
2022-06-04,22.3,0.0,0.7721,25.199,58.6736,40.8
2022-06-05,36.1,1.6,1.504,25.3898,59.3333,22.3
2022-06-06,31.8,0.0,1.3567,25.8952,48.7778,36.1
2022-06-06,31.8,0.0,1.3567,25.8952,48.7778,31.8
2022-06-07,22.0,5.4,1.6922,24.1171,59.4097,31.8
2022-06-08,18.6,2.6,1.3568,22.7241,57.0347,22.0
2022-06-09,14.1,0.0,1.7237,23.4272,44.6458,18.6
2022-06-10,11.1,0.0,1.2031,25.6146,25.2153,14.1
2022-06-11,22.0,0.0,1.3295,26.5067,35.9028,11.1
2022-06-12,22.4,0.0,1.0715,28.0758,37.9931,22.0
2022-06-13,28.5,0.0,1.1906,29.0446,39.1042,22.4
2022-06-14,31.0,0.0,2.474,28.1056,45.6458,28.5
2022-06-15,31.6,0.0,1.6904,28.0971,43.4236,31.0
2022-06-16,37.7,0.0,1.3183,29.7167,43.2083,31.6
2022-06-17,36.0,0.0,1.52,30.1531,44.5486,37.7
2022-06-18,31.5,0.0,2.6574,29.5092,38.5,36.0
2022-06-19,28.5,0.0,1.8883,29.9883,36.7639,31.5
2022-06-20,32.4,0.0,1.4284,29.2499,39.8681,28.5
2022-06-21,26.3,0.0,1.5195,28.0295,50.2847,32.4
2022-06-22,33.6,1.6,1.1337,26.0074,59.9306,26.3
2022-06-23,37.1,0.0,1.2805,26.011,63.0,33.6
2022-06-24,33.3,1.2,1.4951,25.2188,56.9583,37.1
2022-06-25,14.7,0.0,1.1962,25.4228,50.2986,33.3
2022-06-27,39.6,0.0,1.5508,29.921,42.9792,14.7
2022-06-28,45.4,3.4,1.7649,27.2159,52.5694,39.6
2022-06-29,20.3,0.0,1.7065,26.6455,53.2361,45.4
2022-06-30,22.5,0.0,1.2651,27.7822,49.9583,20.3
2022-06-30,22.5,0.0,1.2651,27.7822,49.9583,22.5
2022-07-01,24.8,0.0,1.4015,27.8705,44.375,22.5
2022-07-02,24.5,0.0,1.1715,29.5551,40.7431,24.8
2022-07-03,27.1,0.0,0.9026,31.2065,38.4167,24.5
2022-07-13,23.8,0.0,1.896,28.0743,45.7292,27.1
2022-07-14,31.2,0.0,1.1124,29.903,41.2708,23.8
2022-07-15,26.6,0.0,1.4457,30.7082,40.1189,31.2
2022-07-16,24.3,0.0,1.5663,30.2839,43.0486,26.6
2022-07-17,27.5,0.0,2.615,30.5096,43.7708,24.3
2022-07-17,27.5,0.0,2.615,30.5096,43.7708,27.5
2022-07-18,30.8,0.0,2.4597,30.4476,39.7708,27.5
2022-07-19,28.0,0.0,1.8815,31.066,34.9097,30.8
2022-07-20,26.9,0.0,1.6214,31.8236,29.8958,28.0
2022-07-21,32.1,0.0,1.753,32.4251,31.0069,26.9
2022-07-22,34.8,0.0,1.3832,33.6829,29.8376,32.1
2022-07-23,30.2,0.0,1.413,30.8995,45.5944,34.8
2022-07-24,25.4,0.0,1.1221,30.7621,51.2361,30.2
2022-07-25,40.0,2.4,1.5645,31.442,44.3542,25.4
2022-07-26,25.2,10.0,1.8057,28.5538,56.3542,40.0
2022-07-26,25.2,10.0,1.8057,28.5538,56.3542,25.2
2022-07-27,15.0,0.0,1.5892,27.3265,52.2292,25.2
2022-07-28,23.3,3.8,2.3806,27.7694,52.5833,15.0
2022-07-30,13.0,0.2,1.2108,26.3021,54.3819,23.3
2022-07-31,14.7,0.0,0.9907,28.4995,34.0625,13.0
2022-08-01,19.1,0.0,1.1161,30.1319,35.2639,14.7
2022-08-02,22.2,0.0,2.0964,28.8616,39.3427,19.1
2022-08-06,25.1,0.0,1.6639,30.3151,45.4375,22.2
2022-08-07,12.4,0.0,2.1111,27.1235,50.1458,25.1
2022-08-08,15.3,0.0,1.1952,27.6496,48.1343,12.4
2022-08-09,22.0,0.0,1.859,28.6135,45.8056,15.3
2022-08-10,24.1,0.0,2.3301,28.7885,38.5139,22.0
2022-08-11,23.0,0.0,2.1162,27.9635,38.6115,24.1
2022-08-12,22.8,0.8,3.3597,26.208,42.3681,23.0
2022-08-13,12.2,0.0,1.1374,24.7043,47.1944,22.8
2022-08-15,15.3,0.0,1.1141,26.2683,46.3958,12.2
2022-08-16,18.1,0.0,1.368,26.6758,54.0347,15.3
2022-08-16,18.1,0.0,1.368,26.6758,54.0347,18.1
2022-08-17,27.5,1.2,1.6262,25.4488,65.4028,18.1
2022-08-18,20.7,16.6,1.4621,21.9594,82.3958,27.5
2022-08-19,10.5,2.0,0.9515,23.4097,66.9167,20.7
2022-08-19,10.5,2.0,0.9515,23.4097,66.9167,10.5
