idsensore,nometiposensore,unitamisura,idstazione,nomestazione,quota,provincia,comune,storico,datastart,utm_nord,utm_est,lat,lng,location,:@computed_region_6hky_swhk,:@computed_region_ttgh_9sm5,:@computed_region_af5v_nc64,datastop
10185,PM10 (SM2005),µg/m³,704,Sermide e Felonica v. Dalla Chiesa,11,MN,Sermide e Felonica,S,2007-01-01T00:00:00.000,4986023,680789,45.00461511,11.29402483,"{'type': 'Point', 'coordinates': [11.29402483, 45.00461511]}",9,9,4,2017-01-01T00:00:00.000
5621,Biossido di Zolfo,µg/m³,532,Cuggiono v. Languria,156,MI,Cuggiono,S,1989-12-18T00:00:00.000,5038680,484723,45.50148956,8.80445883,"{'type': 'Point', 'coordinates': [8.80445883, 45.50148956]}",4,4,8,2009-12-11T00:00:00.000
10141,Ossidi di Azoto,µg/m³,701,Ostiglia v.Colombo,14,MN,Ostiglia,S,2006-11-29T00:00:00.000,4993316,668216,45.07331225,11.13703575,"{'type': 'Point', 'coordinates': [11.13703575, 45.07331225]}",9,9,4,2017-01-01T00:00:00.000
6962,PM10 (SM2005),µg/m³,595,Filago v.Don Milani,190,BG,Filago,N,2004-10-14T00:00:00.000,5053519,543342,45.63387247,9.55609572,"{'type': 'Point', 'coordinates': [9.55609572, 45.63387247]}",5,5,1,
17127,Benzene,µg/m³,501,Milano v.Marche,129,MI,Milano,N,2012-09-13T00:00:00.000,5038105,514918,45.49631883,9.19093444,"{'type': 'Point', 'coordinates': [9.19093444, 45.49631883]}",4,4,8,
5824,Monossido di Carbonio,mg/m³,541,Limbiate v. F. Turati,181,MB,Limbiate,S,1994-11-23T00:00:00.000,5049330,509823,45.59096100,9.13941700,"{'type': 'Point', 'coordinates': [9.139417, 45.590961]}",12,12,5,2011-07-01T00:00:00.000
5590,Biossido di Azoto,µg/m³,587,Casnigo via Europa,514,BG,Casnigo,S,1989-11-08T00:00:00.000,5073819,567412,45.81464142,9.86771003,"{'type': 'Point', 'coordinates': [9.86771003, 45.81464142]}",5,5,1,2005-05-05T00:00:00.000
10025,Ozono,µg/m³,685,Calusco d'Adda v. Caduti sul Lavoro,273,BG,Calusco d'Adda,N,2006-06-30T00:00:00.000,5059767,537706,45.69043647,9.48426111,"{'type': 'Point', 'coordinates': [9.48426111, 45.69043647]}",5,5,1,
10197,Particelle sospese PM2.5,µg/m³,697,Borgofranco sul Po loc. Bonizzo,14,MN,Borgofranco sul Po,N,2006-12-01T00:00:00.000,4990430,671752,45.04650286,11.18094889,"{'type': 'Point', 'coordinates': [11.18094889, 45.04650286]}",9,9,4,
6907,PM10 (SM2005),µg/m³,513,Trezzo sull'Adda v.Nenni,199,MI,Trezzo sull'Adda,S,2001-04-03T00:00:00.000,5051253,539618,45.61370028,9.50813400,"{'type': 'Point', 'coordinates': [9.508134, 45.61370028]}",4,4,8,2017-01-01T00:00:00.000
6374,Ossidi di Azoto,µg/m³,571,Bormio v.Monte Braulio,1225,SO,Bormio,N,1993-11-01T00:00:00.000,5147136,605598,46.46952397,10.37543275,"{'type': 'Point', 'coordinates': [10.37543275, 46.46952397]}",3,3,7,
5695,Biossido di Zolfo,µg/m³,601,Montanaso Lombardo SP 202,84,LO,Montanaso Lombardo,S,2000-01-13T00:00:00.000,5020391,535459,45.33613419,9.45255314,"{'type': 'Point', 'coordinates': [9.45255314, 45.33613419]}",11,11,8,2008-04-11T00:00:00.000
5965,Biossido di Azoto,µg/m³,633,Soresina v. Landriani,70,CR,Soresina,N,1999-10-16T00:00:00.000,5014860,567712,45.28398000,9.86340258,"{'type': 'Point', 'coordinates': [9.86340258, 45.28398]}",8,8,4,
5606,Biossido di Azoto,µg/m³,603,Castiraga Vidardo v.Craxi,74,LO,Castiraga Vidardo,S,2000-01-13T00:00:00.000,5012170,531404,45.26232903,9.40029257,"{'type': 'Point', 'coordinates': [9.40029257, 45.26232903]}",11,11,8,2018-01-01T00:00:00.000
5618,Biossido di Zolfo,µg/m³,529,Cinisello Balsamo v.Lincoln,149,MI,Cinisello Balsamo,S,1988-08-10T00:00:00.000,5044335,517778,45.55232831,9.22776572,"{'type': 'Point', 'coordinates': [9.22776572, 45.55232831]}",4,4,8,1999-05-04T00:00:00.000
